电影名,导演,主演,年份,评价分数,评价人数
肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins /...,1994,9.7,2584355
霸王别姬,陈凯歌 Kaige Chen,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,9.6,1918964
阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯 Tom Hanks / ...,1994,9.5,1941868
泰坦尼克号,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥 Leonardo...,1997,9.4,1903302
这个杀手不太冷,吕克·贝松 Luc Besson,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,9.4,2097137
美丽人生,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼 Roberto Beni...,1997,9.6,1192854
千与千寻,宫崎骏 Hayao Miyazaki,柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001,9.4,2021074
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森 Liam Neeson...,1993,9.6,994772
盗梦空间,克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥 Le...,2010,9.4,1863209
忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔 Richard Ger...,2009,9.4,1275988
星际穿越,克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳 Matthew Mc...,2014,9.4,1548429
楚门的世界,彼得·威尔 Peter Weir,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,9.3,1470132
海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯 Tim Roth / ...,1998,9.3,1514197
三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗 Aamir Khan / 卡...,2009,9.2,1692326
机器人总动员,安德鲁·斯坦顿 Andrew Stanton,本·贝尔特 Ben Burtt / 艾丽...,2008,9.3,1193402
放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,热拉尔·朱尼奥 Gé...,2004,9.3,1178049
无间道,刘伟强 / 麦兆辉,刘德华 / 梁朝伟 / 黄秋生,2002,9.3,1189373
疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,2016,9.2,1699402
大话西游之大圣娶亲,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,9.2,1383591
熔炉,黄东赫 Dong-hyuk Hwang,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011,9.3,841681
教父,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度 M...,1972,9.3,853635
控方证人,比利·怀尔德 Billy Wilder,泰隆·鲍华 Tyrone Power / 玛琳·...,1957,9.6,445568
当幸福来敲门,加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯 Will Smith ...,2006,9.2,1371660
怦然心动,罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,9.1,1642584
